game_id,date,time,game_folder,game_url,home_team,away_team,home_pts,away_pts,home_win,away_win,point_diff,home_q1,home_q2,home_q3,home_q4,away_q1,away_q2,away_q3,away_q4,home_reb,home_ast,home_fg_pct,home_ft_pct,home_oreb,home_dreb,home_tov,home_stl,home_blk,home_fouls,home_eff,home_2pm,home_2pa,home_3pm,home_3pa,home_ftm,home_fta,home_fgm,home_fga,away_reb,away_ast,away_fg_pct,away_ft_pct,away_oreb,away_dreb,away_tov,away_stl,away_blk,away_fouls,away_eff,away_2pm,away_2pa,away_3pm,away_3pa,away_ftm,away_fta,away_fgm,away_fga,home_possessions_proxy,away_possessions_proxy,home_off_rating_proxy,away_off_rating_proxy,away_def_rating_proxy,home_def_rating_proxy,schedule_home_team,schedule_away_team
837673,2025-09-20,6:30 PM,sep-20-2025_837673_juvi-cremona_vs_forli,https://www.proballers.com/basketball/game/837673/juvi-cremona-forli-2025-09-20,Ferraroni Juvi Cremona,Unieuro Forli,78,70,1,0,8,23,17,19,19,25,13,12,20,33,19,50.0,70.0,5,28,13,2,0,22,87,16,29,13,29,7,10,29,58,29,6,41.4,55.6,7,22,9,6,2,19,58,17,32,7,26,15,27,24,58,70.4,71.9,110.79545454545455,97.35744089012516,110.79545454545455,97.35744089012516,Juvi Cremona,Forli
837681,2025-09-20,6:30 PM,sep-20-2025_837681_wegreenit-urania-milano_vs_rimini,https://www.proballers.com/basketball/game/837681/wegreenit-urania-milano-rimini-2025-09-20,Wegreenit Urania Milano,Dole Basket Rimini,73,82,0,1,-9,20,13,14,26,20,24,23,15,30,23,43.3,80.0,5,25,8,6,3,14,90,17,35,9,25,12,15,26,60,33,23,44.1,83.3,8,25,11,4,1,19,93,13,29,17,39,5,6,30,68,69.6,73.6,104.88505747126437,111.41304347826089,104.88505747126437,111.41304347826089,Wegreenit Urania Milano,Rimini
837672,2025-09-21,4:00 PM,sep-21-2025_837672_ruvo-di-puglia_vs_brindisi,https://www.proballers.com/basketball/game/837672/ruvo-di-puglia-brindisi-2025-09-21,Crifo Wines Ruvo di Puglia,Valtur Brindisi,58,94,0,1,-36,15,6,24,13,19,22,23,30,33,8,37.3,50.0,11,22,17,5,0,20,41,17,39,5,20,9,18,22,59,38,17,52.9,77.3,11,27,8,11,0,23,115,31,47,5,21,17,22,36,68,72.9,74.7,79.56104252400547,125.83668005354751,79.56104252400547,125.83668005354751,Ruvo di Puglia,Brindisi
837674,2025-09-21,4:00 PM,sep-21-2025_837674_scafati_vs_mestre,https://www.proballers.com/basketball/game/837674/scafati-mestre-2025-09-21,Givova Scafati,Gemini Mestre,76,61,1,0,15,26,11,13,26,17,18,15,11,35,12,42.6,62.1,11,24,11,4,3,17,73,20,40,6,21,18,29,26,61,34,9,39.7,87.5,7,27,17,2,2,24,52,21,50,4,13,7,8,25,63,73.8,76.5,102.98102981029811,79.73856209150327,102.98102981029811,79.73856209150327,Scafati,Mestre
837677,2025-09-21,5:30 PM,sep-21-2025_837677_liofilchem-roseto_vs_fortitudo-bologna,https://www.proballers.com/basketball/game/837677/liofilchem-roseto-fortitudo-bologna-2025-09-21,Liofilchem Roseto,Fortitudo Bologna,86,82,1,0,4,27,18,21,20,15,22,26,19,34,25,48.4,73.3,7,27,8,3,1,22,105,15,29,15,33,11,15,30,62,31,22,40.7,84.6,6,25,8,3,1,20,92,12,33,12,26,22,26,24,59,69.6,72.4,123.56321839080462,113.25966850828728,123.56321839080462,113.25966850828728,Liofilchem Roseto,Fortitudo Bologna
837678,2025-09-21,4:00 PM,sep-21-2025_837678_reale-mutua-torino_vs_ueb-gesteco-cividale,https://www.proballers.com/basketball/game/837678/reale-mutua-torino-ueb-gesteco-cividale-2025-09-21,Reale Mutua Torino,UEB Gesteco Cividale,83,74,1,0,9,14,14,30,25,28,15,20,11,31,15,46.4,85.7,5,26,13,5,1,17,88,19,34,7,22,24,28,26,56,26,14,42.2,76.9,7,19,14,5,0,22,65,17,39,10,25,10,13,27,64,76.3,76.7,108.78112712975098,96.47979139504564,108.78112712975098,96.47979139504564,Reale Mutua Torino,UEB Gesteco Cividale
837680,2025-09-21,4:00 PM,sep-21-2025_837680_tezenis-verona_vs_tesi-pistoia,https://www.proballers.com/basketball/game/837680/tezenis-verona-tesi-pistoia-2025-09-21,Tezenis Verona,Estra Pistoia,74,69,1,0,5,16,20,22,16,16,17,21,15,47,8,41.4,56.5,17,30,7,2,2,16,75,26,47,3,23,13,23,29,70,32,9,43.1,57.9,6,26,9,4,2,21,66,17,28,8,30,11,19,25,58,70.1,69.4,105.56348074179745,99.4236311239193,105.56348074179745,99.4236311239193,Tezenis Verona,Tesi Pistoia
837676,2025-09-21,4:00 PM,sep-21-2025_837676_libertas-livorno_vs_tramec-cento,https://www.proballers.com/basketball/game/837676/libertas-livorno-tramec-cento-2025-09-21,Libertas Livorno 1947,Sella Cento,68,77,0,1,-9,20,18,9,21,19,17,22,19,36,14,37.7,78.6,11,25,18,6,3,30,63,21,43,5,26,11,14,26,69,37,13,39.3,71.1,5,32,15,7,2,21,76,16,37,6,19,27,38,22,56,82.2,82.7,82.7250608272506,93.10761789600967,82.7250608272506,93.10761789600967,Libertas Livorno,Tramec Cento
837679,2025-09-24,7:00 PM,sep-24-2025_837679_real-rieti_vs_delfes-avellino,https://www.proballers.com/basketball/game/837679/real-rieti-del-fes-avellino-2025-09-24,Real Sebastiani Rieti,Avellino Basket,60,72,0,1,-12,22,13,11,14,17,22,17,16,29,14,33.9,81.3,8,21,17,6,2,19,52,13,32,7,27,13,16,20,59,34,17,46.4,72.2,6,28,16,10,4,23,86,19,40,7,16,13,18,26,56,75.0,73.9,80.0,97.42895805142084,80.0,97.42895805142084,Real Rieti,Del.Fes Avellino
837688,2025-09-26,6:45 PM,sep-26-2025_837688_ueb-gesteco-cividale_vs_tezenis-verona,https://www.proballers.com/basketball/game/837688/ueb-gesteco-cividale-tezenis-verona-2025-09-26,UEB Gesteco Cividale,Tezenis Verona,74,67,1,0,7,16,27,13,18,10,24,16,17,28,14,52.9,75.0,3,25,10,4,0,24,82,19,35,8,16,12,16,27,51,35,11,32.3,62.5,16,19,8,5,0,20,59,8,25,12,37,15,24,20,62,65.0,64.6,113.84615384615384,103.71517027863777,113.84615384615384,103.71517027863777,UEB Gesteco Cividale,Tezenis Verona
837685,2025-09-27,6:00 PM,sep-27-2025_837685_mestre_vs_liofilchem-roseto,https://www.proballers.com/basketball/game/837685/mestre-liofilchem-roseto-2025-09-27,Gemini Mestre,Liofilchem Roseto,101,91,1,0,10,32,22,21,26,27,25,13,26,25,19,50.0,75.0,7,18,10,8,2,21,106,16,32,17,34,18,24,33,66,27,18,55.6,88.5,4,23,15,5,0,22,99,22,32,8,22,23,26,30,54,79.6,76.4,126.88442211055278,119.10994764397904,126.88442211055278,119.10994764397904,Mestre,Liofilchem Roseto
837682,2025-09-28,4:00 PM,sep-28-2025_837682_rimini_vs_real-rieti,https://www.proballers.com/basketball/game/837682/rimini-real-rieti-2025-09-28,Dole Basket Rimini,Real Sebastiani Rieti,75,77,0,1,-2,20,23,18,14,20,23,23,11,25,10,40.7,85.7,12,13,18,4,0,24,58,15,29,9,30,18,21,24,59,29,17,47.2,92.0,9,20,14,12,2,23,93,21,38,4,15,23,25,25,53,74.2,69.0,101.07816711590296,111.59420289855073,101.07816711590296,111.59420289855073,Rimini,Real Rieti
837683,2025-09-28,4:00 PM,sep-28-2025_837683_tesi-pistoia_vs_orzinuovi,https://www.proballers.com/basketball/game/837683/tesi-pistoia-orzinuovi-2025-09-28,Estra Pistoia,Gruppo Mascio Bergamo,93,83,1,0,10,21,19,25,28,18,20,26,19,30,14,41.0,96.9,7,23,9,3,0,23,94,13,30,12,31,31,32,25,61,36,9,42.3,66.7,11,25,12,6,3,26,77,21,38,9,33,14,21,30,71,77.1,81.2,120.62256809338523,102.21674876847291,120.62256809338523,102.21674876847291,Tesi Pistoia,Orzinuovi
837684,2025-09-28,4:00 PM,sep-28-2025_837684_fortitudo-bologna_vs_scafati,https://www.proballers.com/basketball/game/837684/fortitudo-bologna-scafati-2025-09-28,Fortitudo Bologna,Givova Scafati,94,64,1,0,30,26,8,33,27,21,16,13,14,38,21,44.9,85.0,13,25,7,6,1,20,112,16,34,15,35,17,20,31,69,22,15,39.6,76.5,3,19,13,3,0,21,55,12,28,9,25,13,17,21,53,71.8,70.5,130.9192200557103,90.78014184397163,130.9192200557103,90.78014184397163,Fortitudo Bologna,Scafati
837686,2025-09-28,4:00 PM,sep-28-2025_837686_delfes-avellino_vs_wegreenit-urania-milano,https://www.proballers.com/basketball/game/837686/del-fes-avellino-wegreenit-urania-milano-2025-09-28,Avellino Basket,Wegreenit Urania Milano,74,75,0,1,-1,13,16,26,19,22,17,18,18,28,14,42.6,77.3,8,20,3,5,2,18,80,21,43,5,18,17,22,26,61,35,8,47.5,75.0,10,25,10,0,2,22,76,18,36,10,23,9,12,28,59,65.7,64.3,112.6331811263318,116.64074650077761,112.6331811263318,116.64074650077761,Del.Fes Avellino,Wegreenit Urania Milano
837690,2025-09-28,3:00 PM,sep-28-2025_837690_brindisi_vs_juvi-cremona,https://www.proballers.com/basketball/game/837690/brindisi-juvi-cremona-2025-09-28,Valtur Brindisi,Ferraroni Juvi Cremona,85,60,1,0,25,27,26,17,15,17,13,14,16,35,19,57.1,76.0,6,29,18,11,0,18,105,18,28,10,21,19,25,28,49,22,9,33.9,85.7,6,16,14,9,2,21,47,12,33,8,26,12,14,20,59,72.0,73.2,118.05555555555556,81.9672131147541,118.05555555555556,81.9672131147541,Brindisi,Juvi Cremona
